公司,產業分類,溫室氣體排放量（公噸二氧化碳當量）,淨零目標年,2030 年減量目標設定,SBTi 承諾,>> 雷達圖數據,2030年溫室氣體絕對減量目標,2030年再生能源使用率目標,2030年能源效率進步目標,2024年再生能源使用率,2022-2024年能源效率進步率,範疇三及減量策略
台塑化,石化業,"24,467,047",2050,28%,❌,,2,0,0,0,0,0
中鋼,鋼鐵業,"19,630,736",2050,25%,❌,,1,0,0,0,0,1
台積電,半導體業,"11,085,996",2050,,❌,,1,3,3,2,3,2
中龍鋼鐵,鋼鐵業,"8,970,700",2050,25%,❌,,1,0,0,0,0,1
台塑,石化業,"8,048,724",2050,40%,遠低於2°C,,2,0,3,0,0,2
台化,石化業,"7,693,239",2050,25%,遠低於2°C,,1,0,3,0,0,1
中油,石化業,"7,026,214",2050,50%,❌,,3,0,0,0,0,0
南亞,石化業,"4,535,698",2050,20%,遠低於2°C,,2,0,3,0,0,2
台泥,水泥業,"4,518,673",2050,,符合1.5°C目標,,0,0,3,0,3,2
亞泥,水泥業,"3,073,716",2050,,遠低於2°C,,0,0,0,0,0,1
長春石化,石化業,"3,131,952",2050,0.3,❌
群創,光電業,"2,477,144",NA,25%,遠低於2°C,,1,1,0,0,3,2
友達,光電業,"1,950,004",2050,42%,符合1.5°C目標,,2,3,3,1,3,2
聯電,半導體業,"1,491,934",2050,0.42,符合1.5°C目標,,2,3,3,3,0,2
大連化工,石化業,"1,586,878",,,❌
正隆,造紙業,"1,343,835",2050,0.2,❌,,1,0,3,0,0,1
台灣美光,半導體業,"1,135,953",2050,42%,❌
長春樹脂,石化業,"1,372,391",,,❌
美光晶圓,半導體業,"1,113,108",,,❌
中石化,石化業,"1,027,987",2050,50%,❌,,3,0,0,0,3,1
東和鋼鐵,鋼鐵業,"792,717",2050,30%,❌,,2,2,0,0,0,1
榮成,造紙業,"879,172",NA,20%,❌,,1,0,3,0,0,1
華紙,造紙業,"766,445",2050,30%,承諾設定科學基礎目標,,2,2,0,3,0,1
豐興,鋼鐵業,"736,174",2050,25%,❌,,1,0,0,0,0,1
潤泰材,水泥業,"602,893",,15%,❌,,1,0,0,0,3,0
世界,半導體業,"695,441",2050,45%,❌,,3,3,3,0,0,2
永豐餘,造紙業,"561,924",2050,16%,❌,,1,3,0,1,3,0
幸福,水泥業,"585,048",2050,,❌,,1,0,0,0,3,1
台玻,非金屬製品加工業,"665,940",NA,NA,❌,,0,0,0,0,3,1
信大,水泥業,"515,663",2050,50%,❌,,0,0,0,0,0,1
力積電,半導體業,"666,437",2050,0.12,❌,,1,2,0,0,0,1
遠東新,石化業,"692,539",2050,50%,❌,,3,0,3,2,3,2
矽品,半導體業,"580,963",NA,0.588,❌,,3,0,0,3,0,2
三福氣體,石化業,"506,347",,,❌
聯亞,石化業,"584,561",,,❌
日月光,半導體業,"573,076",2050,0.588,❌,,3,0,0,3,0,2
奇美實業,石化業,"570,955",2050,42%,符合1.5°C目標,,2,1,0,0,0,2
欣興,電子業,"518,310",2050,30%,❌,,2,0,0,0,0,1
燁聯,鋼鐵業,"570,137",,,❌
南電,電子業,"486,877",2050,25%,遠低於2°C,,1,0,0,0,0,1
國喬,石化業,"354,857",2050,40%,❌,,2,0,0,0,0,1
南亞科,半導體業,"430,644",NA,25%,遠低於2°C,,1,1,0,0,0,2
台灣康寧,非金屬製品加工業,"448,315",NA,30%,❌,,0,0,0,0,0,1
台肥,石化業,"494,916",2050,46%,❌,,3,0,0,0,0,0
中纖,石化業,"438,890",,0.06,❌,,1,0,0,0,3,0
義芳化學,石化業,"376,117",,,❌
華邦電,半導體業,"304,607",2050,0.42,承諾設定科學基礎目標,,2,2,3,1,0,2
艾杰旭,非金屬製品加工業,"372,497",,,❌
亞東氣體,石化業,"324,260",,,❌
旺宏,半導體業,"366,040",2050,,❌,,0,0,0,0,0,2
慶欣欣,鋼鐵業,"373,455",,,❌
東聯,石化業,"340,053",2050,0.35,❌,,2,1,3,0,0,2
亞東石化,石化業,"339,529",,,❌
力成,半導體業,"347,265",2050,0.15,❌,,1,1,0,0,0,1
華新,鋼鐵業,"310,709",2050,,❌,,0,0,0,3,0,2
新纖,紡織業,"322,467",2050,NA,承諾設定科學基礎目標,,0,0,3,0,0,1
京元電子,半導體業,"278,837",2050,15%,❌,,1,1,0,0,0,2
協勝發,鋼鐵業,"262,674",,,❌
彩晶,光電業,"316,162",2045,30%,❌,,2,2,0,0,0,2
中鴻,鋼鐵業,"258,418",2050,25%,❌,,1,0,0,0,0,1
威致,鋼鐵業,"284,921",2050,8%,❌,,1,0,0,0,0,0
景碩,電子業,"263,506",2050,NA,❌,,0,1,0,0,0,2
林園先進,石化業,"274,634",,,❌
台勝科,半導體業,"229,950",2050,0.125,遠低於2°C,,1,1,0,0,0,1
南茂,半導體業,"231,497",2050,20%,❌,,1,1,2,0,0,2
凌巨,光電業,"228,698",2050,38%,❌,,2,0,2,0,0,1
李長榮,石化業,"248,530",2050,42%,❌,,2,1,3,0,0,1
力鵬,石化業,"224,803",無,,❌,,0,0,0,0,3,0
台苯,石化業,"228,395",2050,30%,❌,,2,0,0,0,0,1
榮剛,鋼鐵業,"196,134",2050,NA,❌,,0,0,0,0,3,2
中美和,石化業,"203,125",,,❌
海光,鋼鐵業,"196,970",2050,0.06,❌,,1,0,0,0,0,0
易昇,鋼鐵業,"172,878",,,❌
台氯,石化業,"178,840",,,❌
尚承,鋼鐵業,"150,400",,,❌
大立光,光電業,"149,249",NA,NA,❌,,0,1,0,0,0,0
福懋,紡織業,"279,823",2050,0.338,遠低於2°C,,2,0,0,0,0,1
力麗,石化業,"217,488",,,❌,,0,0,0,0,3,0
台灣必成,非金屬製品加工業,"203,968",,,❌
富喬,非金屬製品加工業,"172,933",NA,NA,❌,,0,0,0,0,1,0
中鋼鋁,鋁製造業,"178,500",2050,0.25,❌,,1,0,0,0,0,2
華通,電子業,"166,684",2050,0.3,❌,,2,2,0,3,0,1
燁輝,鋼鐵業,"144,569",2050,0.22,❌,,1,0,0,0,0,1
環球晶,半導體業,"157,966",2050,NA,承諾設定科學基礎目標,,0,3,0,1,0,1
穩懋,半導體業,"161,311",2050,42%,❌,,2,2,2,0,0,2
台橡,石化業,"149,151",NA,0.225,❌,,1,2,0,1,3,2
羅東鋼鐵,鋼鐵業,"144,761",,,❌
台聚,石化業,"139,850",2050,0.27,❌,,2,0,2,0,0,2
信昌化學,石化業,"290,104",2050,0.13,❌,,2,0,0,0,0,1
台灣志氯,石化業,"153,652",,,❌
台灣醋酸,石化業,"172,030",,,❌
頎邦,半導體業,"140,563",,0.23,❌,,1,0,0,0,0,1
建順煉鋼,鋼鐵業,"135,137",,,❌
中聯資源,非金屬製品加工業,"139,217",2050,25%,❌,,1,0,0,0,3,1
茂矽,半導體業,"197,319",2050,42%,❌,,2,0,0,0,0,1
南紡,石化業,"134,111",NA,11%,❌,,1,0,3,0,3,1
福雷電子,半導體業,"136,367",,,❌
精材,電子業,"145,485",2050,0.15,❌,,1,1,0,0,0,1
福懋科,半導體業,"129,514",2050,0.25,遠低於2°C,,1,1,0,0,0,2
集盛,紡織業,"136,417",無,NA,❌,,0,0,3,0,0,1
永豐實,造紙業,"105,974",2050,,❌,,0,0,0,0,0,1
亞聚,石化業,"109,187",2050,27%,❌,,2,0,0,0,0,2
華夏,石化業,"116,150",2050,27%,❌,,2,0,0,0,0,1
金居,銅製造業,"112,760",2050,NA,❌,,0,0,0,0,3,0
廣源造紙,造紙業,"130,909",,,❌
華夏玻璃,非金屬製品加工業,"118,709",,,❌
超豐,半導體業,"105,578",2050,10%,❌,,1,0,0,0,0,2
大統益,食品業,"94,417",NA,0.033,❌,,1,0,0,0,0,0
裕鐵,鋼鐵業,"78,987",,,❌
聯成鋼鐵,鋼鐵業,"97,608",,,❌
宏遠,紡織業,"128,957",2050,50%,❌,,3,1,3,2,3,1
台灣銅箔,銅製造業,"104,627",,,❌
冠軍,非金屬製品加工業,"88,751",2050,NA,❌,,0,0,0,0,3,1
高雄塑酯,石化業,"88,672",,,❌
燿華,電子業,"98,343",NA,30%,❌,,2,0,0,0,3,2
唐榮公司,鋼鐵業,"103,364",2050,0.47,❌,,3,0,0,0,0,0
台灣石化,石化業,"102,212",,,❌
中碳,石化業,"90,375",2050,5%,❌,,3,0,0,0,0,1
金像電,電子業,"94,561",2050,0.467,❌,,3,2,0,3,3,1
鋼聯,石化業,"86,239",2050,34%,❌,,2,0,0,1,0,1
三義化學,石化業,"87,551",,,❌
正新,石化業,"96,172",,22%,❌,,1,1,0,0,3,1
艾克爾,半導體業,"82,858",2050,55%,❌,,3,0,0,0,0,2
環球橡膠,石化業,"100,844",,,❌
南中石化,石化業,"174,397",,,❌
統一,食品業,"73,675",NA,0.38,❌,,2,0,0,0,3,2
晶電,光電業,"127,755",2050,50%,❌,,3,3,3,0,0,2
台灣寶理,石化業,"112,493",,,❌
統一實,鋼鐵業,"112,190",2050,25%,❌,,1,0,0,0,3,1
國巨,電子業,"72,988",2050,,❌,,0,1,0,0,0,1
