公司,產業分類,溫室氣體排放量（公噸二氧化碳當量）,>> 雷達圖數據,2030年溫室氣體絕對減量目標,2030年再生能源使用率目標,2030年能源效率進步目標,2024年再生能源使用率,2022-2024年能源效率進步率,範疇三及減量策略
台塑化,石化業,"24,234,494",,2,0,0,0,1,0
中鋼,鋼鐵業,"18,066,406",,1,0,0,0,2,0
台積電,半導體業,"11,418,278",,0,3,3,2,0,3
台塑,石化業,"8,130,027",,2,0,3,0,0,0
台化,石化業,"8,022,913",,1,0,0,1,0,1
中油,石化業,"6,542,927",,0,0,0,3,0,0
南亞,石化業,"3,752,539",,2,1,3,0,3,3
台泥,水泥業,"3,643,800",,0,0,3,0,0,3
亞泥,水泥業,"2,782,856",,1,0,3,0,3,3
群創,光電業,"2,412,736",,1,1,0,0,3,3
友達,光電業,"1,971,913",,2,3,3,1,0,3
聯電,半導體業,"1,430,027",,2,3,3,3,0,3
正隆,造紙業,"1,338,222",,0,0,0,0,0,1
中石化,石化業,"843,461",,3,0,3,0,0,0
東和鋼鐵,鋼鐵業,"822,114",,2,2,3,3,0,1
榮成,造紙業,"747,331",,1,0,0,0,0,0
華紙,造紙業,"727,556",,2,2,0,3,0,0
豐興,鋼鐵業,"696,740",,1,0,1,0,0,0
潤泰材,水泥業,"674,336",,1,0,1,0,0,0
世界,半導體業,"632,278",,3,3,3,0,0,3
幸福,水泥業,"606,630",,0,0,0,0,0,0
台玻,非金屬製品加工業,"598,880",,0,0,0,0,3,1
信大,水泥業,"592,622",,0,0,1,0,3,1
力積電,半導體業,"582,944",,0,2,0,0,0,0
遠東新,石化業,"569,532",,3,0,3,2,3,3
奇美實業,石化業,"542,811",,0,2,0,1,0,3
欣興,電子業,"537,380",,0,2,3,0,0,0
南電,電子業,"442,870",,1,0,0,0,0,3
國喬,石化業,"437,353",,2,0,1,0,3,3
南亞科,半導體業,"430,324",,1,1,0,0,0,3
台肥,石化業,"413,921",,3,0,3,0,1,0
中纖,石化業,"410,657",,1,0,0,0,0,0
華邦電,半導體業,"397,007",,2,2,3,1,0,3
旺宏,半導體業,"355,303",,0,0,0,0,0,3
東聯,石化業,"343,759",,2,1,2,0,0,0
力成,半導體業,"306,448",,1,1,0,0,3,0
華新,鋼鐵業,"293,730",,1,0,0,2,0,3
新纖,紡織業,"287,173",,1,0,3,0,0,3
京元電子,半導體業,"280,120",,1,1,0,0,0,0
彩晶,光電業,"265,840",,2,0,1,0,3,3
中鴻,鋼鐵業,"260,634",,1,2,2,0,0,0
