年度,公司,事業統編,統編補0,行業分類,行業大類,2020,2021,2022,2023,2024,2025
112,台灣電力股份有限公司,3795904,03795904,電力供應業,電力業,"13,825,169.4","21,254,368.1","25,630,091.4","21,697,381.4","19,741,706.2","8,346,178.9"
112,台塑石化股份有限公司,86522210,86522210,化學原材料製造業,石化業,"7,077,543.0","8,573,708.0","8,141,516.0","7,875,820.0","7,790,821.0","4,169,098.0"
112,麥寮汽電股份有限公司,96975970,96975970,電力供應業,電力業,"2,870,992.9","2,825,970.5","5,099,457.1","4,227,216.3","4,529,240.9","1,514,210.9"
112,和平電力股份有限公司,16096852,16096852,電力供應業,電力業,"1,716,700.9","3,209,652.0","3,162,369.3","3,402,465.6","2,990,004.0","1,323,869.4"
112,台灣化學纖維股份有限公司,58650902,58650902,化學原材料製造業,石化業,"566,649.0","561,454.0","926,522.0","1,431,670.0","1,353,322.0","575,372.0"
112,台灣塑膠工業股份有限公司,75708007,75708007,未分類其他化學製品製造業,石化業,"272,214.0","489,480.0","940,048.0","1,095,456.0","1,180,546.0","447,436.0"
112,華亞汽電股份有限公司,70783006,70783006,電力供應業,電力業,"410,880.0","876,895.0","726,616.0","741,015.0","693,491.0","245,066.0"
112,長春石油化學股份有限公司,11384806,11384806,未分類其他化學製品製造業,石化業,0.0,"147,682.8","607,503.1","506,637.7","567,584.1","195,098.7"
112,台灣水泥股份有限公司,11913502,11913502,水泥及其製品製造業,水泥業,"841,673.9","925,297.3","750,751.5","617,443.4","466,088.9","256,029.0"
112,亞洲水泥股份有限公司,3244509,03244509,水泥及其製品製造業,水泥業,0.0,"489,192.0","645,932.0","439,508.0","427,140.0","224,046.0"
112,正隆股份有限公司,33085508,33085508,紙漿、紙及紙板製造業,造紙業,"2,319.1","439,052.4","461,672.7","406,131.5","381,977.7","174,007.0"
112,南亞塑膠工業股份有限公司,75370905,75370905,化學原材料製造業,石化業,"275,883.3","678,381.0","343,964.1","309,234.0","319,759.0","150,060.0"
112,中華紙漿股份有限公司,94025264,94025264,紙漿、紙及紙板製造業,造紙業,0.0,"161,648.4","215,513.2","261,555.4","250,196.5","95,845.3"
112,榮成紙業股份有限公司,34202841,34202841,紙漿、紙及紙板製造業,造紙業,"63,920.7","136,051.3","250,718.9","211,558.3","235,807.3","120,325.1"
112,錦州科技股份有限公司,53520959,53520959,蒸汽供應業,電力業,0.0,0.0,"112,643.0","251,518.0","225,284.0",0.0
112,永豐餘工業用紙股份有限公司,27719048,27719048,其他紙製品製造業,造紙業,0.0,"62,125.4","166,653.4","204,949.4","192,748.6","95,668.2"
112,國喬石油化學股份有限公司,4212250,04212250,石油及煤製品製造業,石化業,0.0,0.0,"47,709.0","137,443.0","191,366.0","95,061.0"
112,潤泰精密材料股份有限公司,86871981,86871981,水泥及其製品製造業,水泥業,"88,480.0","82,652.0","41,402.0","93,926.4","190,760.0","80,234.0"
112,遠東新世紀股份有限公司,3522600,03522600,人造纖維製造業,石化業,"167,495.5","237,990.7","219,150.1","152,577.0","185,210.2","58,754.2"
112,大園汽電共生股份有限公司,84526079,84526079,電力供應業,電力業,"83,528.0","210,099.1","193,140.2","176,164.5","175,691.0","61,458.3"
112,義芳化學工業股份有限公司,15395706,15395706,化學原材料製造業,石化業,"77,609.9","150,047.8","167,011.0","162,488.2","174,970.7","77,068.1"
112,中國人造纖維股份有限公司,7066907,07066907,化學原材料製造業,石化業,0.0,"157,852.7","157,267.0","141,956.3","155,616.4","50,589.1"
112,台灣汽電共生股份有限公司,86685142,86685142,電力供應業,電力業,0.0,"37,081.0","119,744.0","120,217.0","124,832.0","51,859.0"
112,幸福水泥股份有限公司,40601248,40601248,水泥及其製品製造業,水泥業,"95,875.1","91,084.3","88,057.1","97,473.6","98,185.6","69,241.8"
112,台灣苯乙烯工業股份有限公司,20844865,20844865,化學原材料製造業,石化業,"11,752.2","118,787.1","31,150.5","19,203.4","76,627.9","51,581.1"
112,力鵬企業股份有限公司,33955322,33955322,人造纖維製造業,石化業,"6,855.3","52,416.3","59,603.2","66,763.0","71,052.3","32,794.8"
112,信大水泥股份有限公司,3279507,03279507,水泥及其製品製造業,水泥業,"19,581.0","88,414.0","74,086.0","114,386.0","69,014.0","39,265.0"
112,長春人造樹脂廠股份有限公司,11384708,11384708,化學原材料製造業,石化業,0.0,0.0,"162,818.2","63,208.9","57,475.2","27,899.4"
112,宏遠興業股份有限公司,22817999,22817999,染整業,紡織業,0.0,"23,138.0","36,316.0","33,564.1","53,674.3","13,404.6"
112,台灣鋼聯股份有限公司,89528054,89528054,化學原材料製造業,石化業,0.0,"4,700.3","15,223.3","33,346.2","34,127.9","14,300.7"
112,台合科技股份有限公司,12691423,12691423,未分類其他化學製品製造業,石化業,0.0,"17,775.5","11,806.9","13,593.8","30,765.8",0.0
112,永豐餘消費品實業股份有限公司,22327037,22327037,其他紙製品製造業,造紙業,"4,136.4","19,842.6","30,148.0","25,566.8","23,840.4","7,967.6"
