公司,產業分類,溫室氣體排放量（公噸二氧化碳當量）,淨零目標年,2030 年減量目標設定,SBTi 承諾,有具體減量策略,範疇三揭露,範疇三減量規劃,近三年能效進步率,節能目標設定,再生能源使用率,再生能源設置容量,是否完成用電大戶再生能源設置義務,中期再生能源目標設定,RE100 承諾,燃煤使用量（公噸）
台塑化,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.48,p.48,p.111,p.54,p.50,p.56,"p.54p.54, p.111p.111",p.54,p.56,p.54,p.54,p.54,p.54,根據環境部燃料季用量申報資料
中鋼,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,"p.14, p.22",p.14,p.25,NA,"p.25, p.136, p.34",p.30,"p.25, p.149p.25p.25",NA,p.30,NA,NA,NA,NA,根據環境部燃料季用量申報資料
台積電,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,p.108,p.108,p.260,NA,"p.103, p.114",p.267,NAp.266p.260,p.115,"p.119, p.267",p.115,p.115,p.115,p.115,根據環境部燃料季用量申報資料
台塑,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.70,p.70,"p.79, p.169",p.79,"p.75, p.81, p.144",p.83,"NAp.79p.79, p.169",p.79,p.83,p.79,p.79,p.79,p.79,根據環境部燃料季用量申報資料
台化,石化業,根據台灣證券交易上市公司 2023 年度第四季報,p.55,p.55,p.75,p.75,"p.51, p.155",p.150,p.75p.75p.75,p.75,p.76,p.75,p.75,p.75,p.75,根據環境部燃料季用量申報資料
中油,石化業,根據台灣證券交易上市公司 2023 年度第四季報,"p.66, p.79","p.66, p.80",p.158,p.80,"p.79, p.87, p.88",p.91,"p.80p.80, p.154p.158",p.80,p.91,p.80,p.80,p.80,p.80,根據環境部燃料季用量申報資料
南亞,石化業,根據台灣證券交易上市公司 2023 年度第四季報,"p.67, p.74",p.74,"p.75, p.137",p.76,"p.63, p.72",p.131,"p.76p.76p.75, p.137",p.76,p.77,p.76,p.76,p.76,p.76,根據環境部燃料季用量申報資料
台泥,水泥業,根據台灣證券交易上市公司 2023 年度第四季報,p.13,p.13,p.208,NA,"p.12, p.72","p.211, p.212",NAp.208p.208,p.12,p.210,NA,p.12,NA,p.12,根據環境部燃料季用量申報資料
亞泥,水泥業,根據台灣證券交易上市公司 2023 年度第四季報,"p.7, p.20",p.20,p.137,p.23,p.23,p.142,p.23p.23p.137,p.23,p.26,p.23,p.23,p.23,p.23,根據環境部燃料季用量申報資料
群創,光電業,根據台灣證券交易上市公司 2023 年度第四季報,p.152,p.152,p.150,NA,"p.152, p.153",p.154,p.150p.150p.150,p.150,p.154,p.150,p.150,p.150,p.150,根據環境部燃料季用量申報資料
