年度,管制編號,事業名稱,公司,事業統編,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),工廠排放量佔比,公司總排放量,行業大類排放量,行業大類佔比,縣市別,縣市別排放量,縣市別排放量佔比,行業分類,行業大類
112,L9202231,三福氣體股份有限公司中科分公司中科二廠,三福氣體股份有限公司,11072509,87.08,"35,381.55","35,468.62",6.39%,"554,927.66","554,927.66",100.00%,台中市,"68,488.90",12.34%,化學原材料製造業,石化業
112,L92A0991,三福氣體股份有限公司中科分公司中科三廠,三福氣體股份有限公司,11072509,0.62,"33,019.65","33,020.28",5.95%,"554,927.66","554,927.66",100.00%,台中市,"68,488.90",12.34%,化學原材料製造業,石化業
112,B9501153,聯亞科技股份有限公司中科聯豐工廠,聯亞科技股份有限公司,22099456,9.30,"56,662.20","56,671.50",10.23%,"553,705.98","553,705.98",100.00%,台中市,"107,698.04",19.45%,化學原材料製造業,石化業
112,L9506663,聯亞科技股份有限公司中科工廠,聯亞科技股份有限公司,22099456,3.06,"51,023.48","51,026.54",9.22%,"553,705.98","553,705.98",100.00%,台中市,"107,698.04",19.45%,化學原材料製造業,石化業
112,L91A1845,亞東工業氣體股份有限公司台中分公司,亞東工業氣體股份有限公司,22522453,"6,517.16","70,736.79","77,253.95",21.66%,"356,607.21","356,607.21",100.00%,台中市,"209,758.83",58.82%,化學原材料製造業,石化業
112,B9503291,亞東工業氣體股份有限公司中科園區分公司二廠,亞東工業氣體股份有限公司,22522453,5.14,"75,993.80","75,998.94",21.31%,"356,607.21","356,607.21",100.00%,台中市,"209,758.83",58.82%,化學原材料製造業,石化業
112,L9101748,中美和石油化學股份有限公司台中廠,中美和石油化學股份有限公司,14040691,"155,795.34","29,438.19","185,233.53",100.00%,"185,233.53","185,233.53",100.00%,台中市,"185,233.53",100.00%,化學原材料製造業,石化業
112,L91A2566,藍海氣體工業股份有限公司台中廠,藍海氣體工業股份有限公司,28438186,103.49,"43,478.42","43,581.91",100.00%,"43,581.91","43,581.91",100.00%,台中市,"43,581.91",100.00%,化學原材料製造業,石化業
112,L02A1943,餘慶堂興業股份有限公司研磨廠,餘慶堂興業股份有限公司,28730458,"17,708.20","23,691.45","41,399.65",100.00%,"41,399.65","41,399.65",100.00%,台中市,"41,399.65",100.00%,水泥及其製品製造業,水泥業
112,B23B6125,台灣積體電路製造股份有限公司十五B廠,台灣積體電路製造股份有限公司,22099131,"140,542.41","1,567,673.04","1,708,215.45",14.96%,"11,418,277.62","11,418,277.62",100.00%,台中市,"2,790,366.11",24.44%,半導體製造業,半導體業
112,L95A2041,台灣積體電路製造股份有限公司15廠,台灣積體電路製造股份有限公司,22099131,"162,883.72","830,364.09","993,247.81",8.70%,"11,418,277.62","11,418,277.62",100.00%,台中市,"2,790,366.11",24.44%,半導體製造業,半導體業
112,B9503479,台灣積體電路製造股份有限公司先進封測五廠,台灣積體電路製造股份有限公司,22099131,758.91,"88,143.94","88,902.85",0.78%,"11,418,277.62","11,418,277.62",100.00%,台中市,"2,790,366.11",24.44%,半導體製造業,半導體業
112,L9202099,台灣美光記憶體股份有限公司台中一廠,台灣美光記憶體股份有限公司,28518076,"110,168.50","537,333.60","647,502.10",55.97%,"1,156,889.39","1,156,889.39",100.00%,台中市,"1,156,889.39",100.00%,半導體製造業,半導體業
112,B9205905,台灣美光記憶體股份有限公司台中三廠,台灣美光記憶體股份有限公司,28518076,"41,482.22","281,727.14","323,209.36",27.94%,"1,156,889.39","1,156,889.39",100.00%,台中市,"1,156,889.39",100.00%,半導體製造業,半導體業
112,B9202664,台灣美光記憶體股份有限公司台中二廠,台灣美光記憶體股份有限公司,28518076,"10,214.34","175,963.59","186,177.93",16.09%,"1,156,889.39","1,156,889.39",100.00%,台中市,"1,156,889.39",100.00%,半導體製造業,半導體業
112,B9502212,矽品精密工業股份有限公司中科廠,矽品精密工業股份有限公司,55991080,"5,422.53","205,090.83","210,513.36",37.65%,"559,058.66","559,058.66",100.00%,台中市,"404,053.87",72.27%,半導體製造業,半導體業
112,L9402188,矽品精密工業股份有限公司中山廠,矽品精密工業股份有限公司,55991080,"1,368.77","108,670.90","110,039.67",19.68%,"559,058.66","559,058.66",100.00%,台中市,"404,053.87",72.27%,半導體製造業,半導體業
112,L9401476,矽品精密工業股份有限公司大豐廠,矽品精密工業股份有限公司,55991080,"7,853.11","75,647.73","83,500.84",14.94%,"559,058.66","559,058.66",100.00%,台中市,"404,053.87",72.27%,半導體製造業,半導體業
112,L9506056,華邦電子股份有限公司中科廠,華邦電子股份有限公司,22099218,"32,108.58","251,278.93","283,387.51",71.38%,"397,006.76","397,006.76",100.00%,台中市,"283,387.51",71.38%,半導體製造業,半導體業
112,B23A2532,亞東工業氣體股份有限公司-中科園區分公司,亞東工業氣體股份有限公司,22522453,54.15,"56,451.80","56,505.95",15.85%,"356,607.21","356,607.21",100.00%,台中市,"209,758.83",58.82%,未分類其他化學製品製造業,石化業
112,L91A0867,台灣中油股份有限公司天然氣事業部台中液化天然氣廠,台灣中油股份有限公司,	03707901,"2,060.76","64,159.93","66,220.69",1.01%,"6,542,927.09","6,542,927.09",100.00%,台中市,"66,220.69",1.01%,石油及煤製品製造業,石化業
112,B2313780,友達光電股份有限公司台中廠,友達光電股份有限公司,84149738,"19,097.41","847,846.82","866,944.23",43.96%,"1,971,912.89","1,971,912.89",100.00%,台中市,"1,218,138.16",61.77%,光電材料及元件製造業,光電業
