統一編號,公司代號,公司全稱,公司簡稱,行業大類,縣市別
86522210,6505,台塑石化股份有限公司,台塑化,石化業,雲林縣
30414175,2002,中國鋼鐵股份有限公司,中鋼,鋼鐵業,高雄市
22099131,2330,台灣積體電路製造股份有限公司,台積電,半導體業,台南市
84613756,2048,中龍鋼鐵股份有限公司,中龍鋼鐵,鋼鐵業,台中市
75708007,1301,台灣塑膠工業股份有限公司,台塑,石化業,雲林縣
58650902,1326,台灣化學纖維股份有限公司,台化,石化業,雲林縣
03707901,1328,台灣中油股份有限公司,中油,石化業,高雄市
75370905,1303,南亞塑膠工業股份有限公司,南亞,石化業,雲林縣
11913502,1101,台灣水泥股份有限公司,台泥,水泥業,花蓮縣
03244509,1102,亞洲水泥股份有限公司,亞泥,水泥業,花蓮縣
11384806,1764,長春石油化學股份有限公司,長春石化,石化業,苗栗縣
12800225,3481,群創光電股份有限公司,群創,光電業,台南市
84149738,2409,友達光電股份有限公司,友達,光電業,台中市
47217677,2303,聯華電子股份有限公司,聯電,半導體業,台南市
12233428,1766,大連化學工業股份有限公司,大連化工,石化業,雲林縣
33085508,1904,正隆股份有限公司,正隆,造紙業,台中市
28518076,非上市櫃,台灣美光記憶體股份有限公司,台灣美光,半導體業,台中市
11384708,1765,長春人造樹脂廠股份有限公司,長春樹脂,石化業,高雄市
80353271,非上市櫃,台灣美光晶圓科技股份有限公司,美光晶圓,半導體業,桃園市
03084741,1314,中國石油化學工業開發股份有限公司,中石化,石化業,高雄市
75280209,2006,東和鋼鐵企業股份有限公司,東和鋼鐵,鋼鐵業,桃園市
34202841,1909,榮成紙業股份有限公司,榮成,造紙業,彰化縣
94025264,1905,中華紙漿股份有限公司,華紙,造紙業,高雄市
55389357,2015,豐興鋼鐵股份有限公司,豐興,鋼鐵業,台中市
86871981,8463,潤泰精密材料股份有限公司,潤泰材,水泥業,宜蘭縣
84149358,5347,世界先進積體電路股份有限公司,世界,半導體業,桃園市
27719048,非上市櫃,永豐餘工業用紙股份有限公司,永豐餘,造紙業,桃園市
40601248,1108,幸福水泥股份有限公司,幸福,水泥業,宜蘭縣
11914002,1802,台灣玻璃工業股份有限公司,台玻,非金屬製品加工業,彰化縣
03279507,1109,信大水泥股份有限公司,信大,水泥業,宜蘭縣
28112667,6770,力晶積成電子製造股份有限公司,力積電,半導體業,新竹市
03522600,1402,遠東新世紀股份有限公司,遠東新,石化業,新竹縣
55991080,非上市櫃,矽品精密工業股份有限公司,矽品,半導體業,台中市
11072509,非上市櫃,三福氣體股份有限公司,三福氣體,石化業,台南市
22099456,非上市櫃,聯亞科技股份有限公司,聯亞,石化業,新竹市
76027628,非上市櫃,日月光半導體製造股份有限公司,日月光,半導體業,高雄市
68387705,1763,奇美實業股份有限公司,奇美實業,石化業,台南市
23535435,3037,欣興電子股份有限公司,欣興,電子業,桃園市
23218395,9957,燁聯鋼鐵股份有限公司,燁聯,鋼鐵業,高雄市
16096804,8046,南亞電路板股份有限公司,南電,電子業,桃園市
04212250,1312,國喬石油化學股份有限公司,國喬,石化業,高雄市
89390656,2408,南亞科技股份有限公司,南亞科,半導體業,新北市
04388145,非上市櫃,台灣康寧顯示玻璃股份有限公司,台灣康寧,非金屬製品加工業,台中市
03795101,1722,台灣肥料股份有限公司,台肥,石化業,台中市
07066907,1718,中國人造纖維股份有限公司,中纖,石化業,高雄市
15395706,非上市櫃,義芳化學工業股份有限公司,義芳化學,石化業,桃園市
22099218,2344,華邦電子股份有限公司,華邦電,半導體業,台中市
70584724,非上市櫃,艾杰旭顯示玻璃股份有限公司,艾杰旭,非金屬製品加工業,雲林縣
22522453,非上市櫃,亞東工業氣體股份有限公司,亞東氣體,石化業,台中市
22099548,2337,旺宏電子股份有限公司,旺宏,半導體業,新竹市
80354671,非上市櫃,慶欣欣鋼鐵股份有限公司,慶欣欣,鋼鐵業,彰化縣
14057995,1710,東聯化學股份有限公司,東聯,石化業,高雄市
22318678,非上市櫃,亞東石化股份有限公司,亞東石化,石化業,桃園市
16082267,6239,力成科技股份有限公司,力成,半導體業,新竹縣
35412204,1605,華新麗華股份有限公司,華新,鋼鐵業,台南市
07435515,1409,新光合成纖維股份有限公司,新纖,紡織業,桃園市
22507241,2449,京元電子股份有限公司,京元電子,半導體業,苗栗縣
79254702,非上市櫃,協勝發鋼鐵廠股份有限公司,協勝發,鋼鐵業,高雄市
16450500,6116,瀚宇彩晶股份有限公司,彩晶,光電業,台南市
07838854,2014,中鴻鋼鐵股份有限公司,中鴻,鋼鐵業,高雄市
69771636,2028,威致鋼鐵工業股份有限公司,威致,鋼鐵業,台南市
70785139,3189,景碩科技股份有限公司,景碩,電子業,桃園市
42818882,非上市櫃,林園先進材料科技股份有限公司,林園先進,石化業,高雄市
